"Архип";"Елизарович";"Лебедев";"АО «Сидоров»";"8 (195) 252-8510";"8 049 722 40 17"
"Мстислав";"Александрович";"Пахомов";"ИП «Дорофеев, Цветкова и Симонова»";"+79579551648";"+7 (052) 060-0677"
"Сидор";"Борисович";"Тимофеев";"ООО «Наумов»";"8 774 237 4580";"8 901 629 1993"
"Лукьян";"Данилович";"Яковлев";"Юнилевер Русь (Unilever)";"8 764 148 8963";"8 (527) 627-74-43"
"Демид";"Александрович";"Власов";"Рыбаков Инкорпорэйтед";"+7 890 068 1447";"+7 (082) 536-3109"
"Святополк";"Арсенович";"Мамонтов";"ООО «Воробьев, Котов и Елисеев»";"+7 733 725 64 91";"8 014 526 37 35"
"Иван";"Якубович";"Лихачев";"НПО «Потапова»";"+7 598 929 3720";"+7 (114) 244-0196"
"Герман";"Федосеевич";"Рыбаков";"ТМК";"8 009 375 67 92";"+7 461 236 9214"
"Филипп";"Ефремович";"Иванов";"Татэнергосбыт";"+7 538 883 24 16";"8 (071) 830-18-11"
"Епифан";"Даниилович";"Кудрявцев";"НПО «Брагина»";"+70025208311";"83555853934"
"Борис";"Адрианович";"Беляков";"РАО «Борисова, Потапова и Гусев»";"+7 233 692 36 73";"8 051 441 5541"
"Мокей";"Ярославович";"Дементьев";"НПО «Рябова»";"8 704 335 90 28";"8 (000) 245-5972"
"Аверьян";"Александрович";"Анисимов";"ИП «Зайцев-Миронов»";"8 (714) 655-5723";"+7 (130) 439-6747"
"Конон";"Тихонович";"Наумов";"ЗАО «Одинцова-Казакова»";"8 293 698 08 84";"+7 (433) 841-3185"
"Данила";"Исидорович";"Давыдов";"ЗАО «Богданова, Герасимов и Николаева»";"84635473817";"+7 961 246 0215"
"Христофор";"Андреевич";"Кошелев";"Боброва Групп";"85290143111";"82440620856"
"Евдоким";"Григорьевич";"Абрамов";"ОАО «Павлов, Лаврентьев и Капустина»";"8 (410) 309-19-61";"8 (477) 588-77-40"
"Ратибор";"Бориславович";"Денисов";"ЗАО «Сафонова-Туров»";"+7 (529) 458-9549";"+7 (044) 162-0083"
"Ярополк";"Брониславович";"Козлов";"ЗАО «Захарова»";"+7 775 063 42 01";"+7 (891) 004-94-45"
"Сила";"Гертрудович";"Александров";"ЗАО «Медведева»";"+7 321 593 96 55";"82835917012"
"Евстигней";"Фадеевич";"Назаров";"НПО «Константинова Анисимова»";"8 383 234 65 48";"83052141692"
"Мир";"Харлампович";"Евсеев";"РАО «Колесников»";"8 (829) 629-64-74";"+7 (973) 779-18-14"
"Бронислав";"Жоресович";"Стрелков";"ИП «Кузьмина»";"+7 351 146 60 07";"+7 856 790 2430"
"Мечислав";"Григорьевич";"Русаков";"ЗАО «Исаева Горбачева»";"8 (567) 039-51-84";"+7 083 756 5008"
"Евстигней";"Алексеевич";"Субботин";"ООО «Громов»";"+7 284 915 0610";"+7 997 917 0635"
"Ювеналий";"Геннадиевич";"Кулаков";"ЗАО «Зуев»";"80801315413";"+7 171 551 1921"
"Лукьян";"Гертрудович";"Михеев";"ОАО «Белозерова, Новикова и Игнатова»";"+7 484 376 4657";"8 202 238 59 10"
"Феликс";"Германович";"Архипов";"ООО «Суханова-Егорова»";"8 693 744 4902";"+7 216 835 79 49"
"Елисей";"Антипович";"Волков";"Фирма Агрокомплекс им. Ткачева";"8 162 891 12 30";"+7 662 298 000"
"Панкрат";"Викентьевич";"Козлов";"ООО «Крылов, Капустина и Беляева»";"89667477487";"8 951 730 4857"
"Милован";"Арсенович";"Муравьев";"Мосгортранс";"8 154 994 92 39";"8 108 235 28 86"
"Милован";"Феофанович";"Кабанов";"ИП «Симонова Матвеев»";"8 (542) 507-0770";"8 (999) 033-1930"
"Твердислав";"Брониславович";"Воронов";"Коновалова Групп";"+7 219 817 5484";"+75062080023"
